ip,host,first_seen,last_seen
192.168.200.118,TL-WA801ND.home,2018-11-02 04:04:35.768084,2018-11-02 04:04:35.768105
192.168.200.204,amazon-ac816c568.home,2018-11-02 04:04:35.770645,2018-11-02 04:04:35.770665
192.168.200.23,amazon-74aa2cf30.home,2018-11-02 04:04:35.774498,2018-11-02 04:04:35.774516
192.168.200.24,th3J0kr-laptop,2018-11-02 04:04:35.774885,2018-11-02 04:04:35.774891
192.168.200.25,th3J0kr-laptop,2018-11-02 04:04:35.775137,2018-11-02 04:04:35.775145
192.168.200.1,_gateway,2018-11-02 04:04:35.777946,2018-11-02 04:04:35.777956
192.168.200.215,ubnt.home,2018-11-02 04:04:55.101890,2018-11-02 04:04:55.101926
